Kornel Filipowicz;Zwycięstwo;Kornela Filipowicza;http://kody.miastoliteratury.pl/b/kornel-filipowicz
Konstanty Puzyna;Oda negatywna;Konstantego Puzyny;http://kody.miastoliteratury.pl/b/konstanty-puzyna
Karol Irzykowski;Sny Marii Dunin (Palimpsest);Karola Irzykowskiego;http://kody.miastoliteratury.pl/b/karol-irzykowski
Franciszek Mirandola;Szeptem odchodzisz;Franciszka Mirandoli;http://kody.miastoliteratury.pl/b/franciszek-mirandola
Franciszek Siła-Nowicki;Zawrat;Franciszka Siły-Nowickiego;http://kody.miastoliteratury.pl/b/franciszek-sila-nowicki
Władysław Orkan;Przygrywka;Władysława Orkana;http://kody.miastoliteratury.pl/b/wladyslaw-orkan
Wacław Anczyc;Drukarza krakowskiego pieśń żałosna o jednym bibliofilu;Wacława Anczyca;http://kody.miastoliteratury.pl/b/waclaw-anczyc
Ignacy Maciejowski;Bajecznie kolorowa (fragment);Ignacego Maciejowskiego;http://kody.miastoliteratury.pl/b/ignacy-maciejowski
Edward Leszczyński;***;Edwarda Leszczyńskiego;http://kody.miastoliteratury.pl/b/edward-leszczynski
Wacław Rolicz-Lieder;Modlitwa na organy;Wacława Rolicza-Liedera;http://kody.miastoliteratury.pl/b/waclaw-rolicz-lieder
Lucjan Rydel;Co tam w Bronowicach;Lucjana Rydla;http://kody.miastoliteratury.pl/b/lucjan-rydel
Hanna Malewska;Sir Tomasz More odmawia;Hanny Malewskiej;http://kody.miastoliteratury.pl/b/hanna-malewska
Maryla Szymiczkowa;Tajemnica domu Helclów;Maryli Szymiczkowej;http://kody.miastoliteratury.pl/b/maryla-szymiczkowa
Leo Lipski;Piotruś;Lea Lipskiego;http://kody.miastoliteratury.pl/b/leo-lipski
Stefan Wilkanowicz;Moja prywatna preambuła;Stefana Wilkanowicza;http://kody.miastoliteratury.pl/b/stefan-wilkanowicz
Anna Szałapak;Anna Szałapak o sobie;Anny Szałapak;http://kody.miastoliteratury.pl/b/anna-szalapak
Jerzy Kronhold;Skoro ciebie nie mogę;Jerzego Kronholda;http://kody.miastoliteratury.pl/b/jerzy-kronhold
Konrad Celtis;Do Wisły – opisując jej początek i ujście oraz o żubrach i polowaniach na nie;Konrada Celtisa;http://kody.miastoliteratury.pl/b/konrad-celtis
Maciej Wojtyszko;Bromba i filozofia;Macieja Wojtyszki;http://kody.miastoliteratury.pl/b/maciej-wojtyszko
Walery Pisarek;Słowa między ludźmi;Walerego Pisarka;http://kody.miastoliteratury.pl/b/walery-pisarek
Stanisław Pagaczewski;Baltazar Gąbka;Stanisława Pagaczewskiego;http://kody.miastoliteratury.pl/b/stanislaw-pagaczewski-1
Miljenko Jergović;Sen na Kazimierzu;Miljenki Jergovicia;http://kody.miastoliteratury.pl/b/miljenko-jergovic
Aleksandra Zielińska;Kijanki i kretowiska;Aleksandry Zielińskiej;http://kody.miastoliteratury.pl/b/aleksandra-zielinska
Ewa Sonnenberg;Motyl na śniegu;Ewy Sonnenberg;http://kody.miastoliteratury.pl/b/ewa-sonnenberg
Joanna Oparek;Berlin Porn;Joanny Oparek;http://kody.miastoliteratury.pl/b/joanna-oparek
Joanna Lech;Sztuczki;Joanny Lech;http://kody.miastoliteratury.pl/b/joanna-lech
Pies Dżok;Pies Dżok;Psa Dżoka;http://kody.miastoliteratury.pl/b/pies-dzok
